date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:31	2787/2787	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2017%20Jun%202015%2008:18:22%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/shop.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/shopcfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:31	8097/8097	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:56%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/jquery.easing.1.3.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/jquery.easing.1.3cfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:32	12227/12227	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:51%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/api.jquery.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/api.jquerycfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:32	6476/6476	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:51%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/ajaxify-shop.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/ajaxify-shopcfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:32	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/asus/Desktop/dw/aa/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:33	4938/4938	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:55%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/hoverIntent.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/hoverIntentcfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:33	6728/6728	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:59%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/superfish.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/superfishcfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:34	3360/3360	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:59%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/supersubs.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/supersubscfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:34	1931/1931	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:56%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/jquery.mobilemenu.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/jquery.mobilemenucfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
23:13:35	1396/1396	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20May%202014%2008:01:58%20GMT	http://cdn.shopify.com/s/files/1/0508/6409/t/2/assets/sftouchscreen.js?0	C:/Users/asus/Desktop/dw/aa/cdn.shopify.com/s/files/1/0508/6409/t/2/assets/sftouchscreencfcd.js	(from https://tm-shopify048-wheels.myshopify.com/)
